id_municipio,pib_mil_reais,ano_pib
2308005,378718,2021
2308104,517496,2021
2308203,129293,2021
2308302,287223,2021
2308351,195290,2021
2308377,112599,2021
2308401,515937,2021
2308500,446847,2021
2308609,160699,2021
2308708,1276864,2021
2308807,75575,2021
2308906,193204,2021
2309003,131292,2021
2309102,123801,2021
2309201,163381,2021
2309300,336930,2021
2309409,283185,2021
2309458,284836,2021
2309508,218899,2021
2309607,1360535,2021
2309706,1235176,2021
2309805,148366,2021
2309904,59940,2021
2310001,98773,2021
2310100,115124,2021
2310209,555931,2021
2310258,535129,2021
2310308,288689,2021
2310407,110908,2021
2310506,389914,2021
2310605,122162,2021
2310704,484760,2021
2310803,560571,2021
2310852,274852,2021
2310902,162092,2021
2310951,84230,2021
2311009,109402,2021
2311108,186375,2021
2311207,110570,2021
2311231,96816,2021
2311264,184720,2021
2311306,1109869,2021
2311355,198820,2021
2311405,1402461,2021
2311504,637015,2021
2311603,409867,2021
2311702,190710,2021
2311801,1158523,2021
2311900,169856,2021
2311959,159284,2021
2312007,280072,2021
2312106,159277,2021
2312205,633710,2021
2312304,627180,2021
2312403,8624987,2021
2312502,107898,2021
2312601,133109,2021
2312700,352272,2021
2312809,62766,2021
2312908,5395130,2021
2313005,303284,2021
2313104,450593,2021
2313203,282247,2021
2313252,85682,2021
2313302,711836,2021
2313351,136988,2021
2313401,1732690,2021
2313500,1115144,2021
2313559,138079,2021
2313609,642046,2021
2313708,69441,2021
2313757,172797,2021
2313807,299474,2021
2313906,298207,2021
2313955,375819,2021
2314003,468101,2021
2314102,603321,2021
2400109,141992,2021
2400208,1467562,2021
2400307,138262,2021
2400406,34552,2021
2400505,150789,2021
2400604,50061,2021
2400703,616322,2021
2400802,180163,2021
2400901,65525,2021
2401008,709586,2021
2401107,935968,2021
2401206,386631,2021
2401305,105354,2021
2401404,325030,2021
2401453,746395,2021
2401503,45864,2021
2401602,88429,2021
2401651,286574,2021
2401701,109336,2021
2401800,139463,2021
2401859,112176,2021
2401909,60456,2021
2402006,1394838,2021
2402105,106965,2021
2402204,605673,2021
2402303,373657,2021
2402402,118372,2021
2402501,210948,2021
2402600,1002193,2021
2402709,140410,2021
2402808,52506,2021
2402907,48166,2021
2403004,123141,2021
2403103,804224,2021
2403202,78555,2021
2403251,6845358,2021
2403301,62292,2021
2403400,81976,2021
2403509,97584,2021
2403608,570418,2021
2403707,173825,2021
2403756,39069,2021
2403806,120492,2021
2403905,32758,2021
2404002,44911,2021
2404101,162616,2021
2404200,546570,2021
2404309,386259,2021
2404408,158308,2021
2404507,2042133,2021
2404606,140718,2021
2404705,196498,2021
2404804,34929,2021
2404853,99444,2021
2404903,73781,2021
2405009,86389,2021
2405108,101429,2021
2405207,84497,2021
2405306,84899,2021
2405405,51547,2021
2405504,64391,2021
2405603,213313,2021
2405702,207991,2021
2405801,1269833,2021
2405900,27991,2021
2406007,67413,2021
2406106,315838,2021
2406155,42147,2021
2406205,70837,2021
2406304,81381,2021
2406403,38240,2021
2406502,269032,2021
2406601,94311,2021
2406700,165928,2021
2406809,51593,2021
2406908,51509,2021
2407005,87825,2021
2407104,1828142,2021
2407203,1111118,2021
2407252,48003,2021
2407302,82889,2021
2407401,108194,2021
2407500,134892,2021
2407609,55529,2021
2407708,130282,2021
2407807,271451,2021
2407906,32366,2021
2408003,8071719,2021
2408102,24186139,2021
2408201,474716,2021
2408300,560495,2021
2408409,47532,2021
2408508,61703,2021
2408607,43930,2021
2408706,55256,2021
2408805,606239,2021
2408904,368924,2021
2408953,185590,2021
2409100,152322,2021
2409209,46128,2021
2409308,160912,2021
2409332,78031,2021
2409407,709328,2021
2409506,293283,2021
2409605,36126,2021
2409704,79994,2021
2409803,173615,2021
2409902,757491,2021
2410009,41829,2021
2410108,131859,2021
