id_municipio,taxa_alfabetizacao_15mais
2604205,78.7
2604304,83.09
2604403,81.28
2604502,77.05
2604601,80.94
2604700,76.29
2604809,75.97
2604908,75.6
2605004,80.56
2605103,79.11
2605152,80.32
2605202,83.98
2605301,79.08
2605400,78.25
2605459,96.49
2605509,79.85
2605608,75.09
2605707,86.7
2605806,75.77
2605905,76.25
2606002,87.84
2606101,77.9
2606200,86.25
2606309,79.92
2606408,83.27
2606507,70.26
2606606,75.6
2606705,74.44
2606804,89.89
2606903,78.72
2607000,75.87
2607109,79.65
2607208,87.64
2607307,78.76
2607406,87.32
2607505,70.34
2607604,89.2
2607653,75.22
2607703,81.94
2607752,88.27
2607802,78.35
2607901,92.79
2607950,77.16
2608008,74.66
2608057,82.63
2608107,74.28
2608206,78.31
2608255,77.06
2608305,78.29
2608404,72.8
2608453,81.19
2608503,78.52
2608602,72.4
2608701,70.89
2608750,81.74
2608800,81.95
2608909,84.81
2609006,77.67
2609105,78.68
2609154,69.83
2609204,72.26
2609303,82.93
2609402,86.16
2609501,83.54
2609600,93.96
2609709,77.1
2609808,83.18
2609907,78.05
2610004,83.82
2610103,75.1
2610202,70.63
2610301,75.99
2610400,78.21
2610509,76.24
2610608,83.72
2610707,95.2
2610806,75.58
2610905,81.78
2611002,86.29
2611101,91.57
2611200,75.84
2611309,79.42
2611408,81.13
2611507,72.04
2611533,78.57
2611606,94.52
2611705,75.74
2611804,81.48
2611903,82.42
2612000,76.45
2612109,69.64
2612208,88.03
2612307,74.21
2612406,79.23
2612455,79.1
2612471,82.47
2612505,88.24
2612554,75.77
2612604,83.18
2612703,75.23
2612802,80.58
2612901,69.17
2613008,78.08
2613107,77.06
2613206,77.39
2613305,72.33
2613404,85.1
2613503,80.23
2613602,83.49
2613701,88.23
2613800,76.9
2613909,84.54
2614006,79.37
2614105,80.41
2614204,81.75
2614303,80.82
2614402,79.48
2614501,82.08
2614600,83.37
2614709,73.33
2614808,80.86
2614857,85.61
2615003,83.69
2615102,72.02
2615201,84.51
2615300,82.9
2615409,84.86
2615508,80.6
2615607,81.76
2615706,87.21
2615805,74.06
2615904,82.75
2616001,80.09
2616100,81.08
2616183,72.45
2616209,80.58
2616308,79.94
2616407,84.65
2616506,74.17
2700102,77.11
2700201,71.28
2700300,84.74
2700409,75.52
2700508,78.71
2700607,85.45
2700706,76.7
2700805,76.03
2700904,72.95
2701001,77.08
2701100,67.1
2701209,70.03
2701308,72.56
2701357,76.71
2701407,78.44
2701506,67.42
2701605,70.1
2701704,76.2
2701803,77.73
2701902,72.94
2702009,71.66
2702108,74.12
2702207,81.46
2702306,81.77
2702355,71.09
2702405,82.52
2702504,72.73
2702553,65.8
2702603,69.56
2702702,75.63
2702801,74.77
2702900,69.76
2703007,70.22
2703106,71.01
2703205,72.01
2703304,71.31
2703403,76.23
2703502,75.88
2703601,80.06
2703700,68.76
2703759,79.26
2703809,69.39
2703908,72.3
2704005,74.9
2704104,72.44
2704203,73.79
2704302,91.58
2704401,72.45
2704500,81.12
2704609,72.13
2704708,86.53
2704807,77.4
2704906,79.24
2705002,68.92
2705101,76.66
2705200,79.0
2705309,67.48
2705408,73.54
2705507,76.35
2705606,73.33
2705705,79.95
2705804,75.24
2705903,67.88
2706000,72.68
2706109,76.55
2706208,78.08
2706307,81.17
2706406,75.88
2706422,77.76
2706448,84.48
2706505,76.25
2706604,74.89
2706703,82.05
2706802,77.17
2706901,82.51
2707008,76.64
2707107,79.24
2707206,73.27
2707305,78.87
2707404,77.92
2707503,72.69
2707602,74.89
2707701,86.86
2707800,74.97
2707909,85.3
2708006,79.03
2708105,72.17
2708204,74.66
2708303,74.58
2708402,73.01
2708501,75.28
