id_municipio,nome_municipio,sigla_uf,regiao,taxa_2023,taxa_2024,meta_2025,meta_2030,delta_observado,delta_projetado,projecao_2025,projecao_2026,projecao_2027,projecao_2028,projecao_2029,projecao_2030,atinge_meta_2025,atinge_meta_2030,gap_2030,ritmo_necessario_ate_2030,ritmo_projetado,classificacao_ritmo
1700400,Almas,TO,Norte,15.92,48.18,31.16,80.0,32.26,20.23,65.38,79.99,92.42,100.0,100.0,100.0,1,1,20.0,5.3,20.23,No ritmo da meta
3105400,Barão de Cocais,MG,Sudeste,58.76,62.71,65.68,80.0,3.95,8.13,69.62,75.49,80.49,84.73,88.34,91.4,1,1,11.4,2.88,8.13,No ritmo da meta
4300034,Aceguá,RS,Sul,69.95,52.5,73.1,80.0,-17.45,-18.7,36.61,23.09,11.61,1.85,0.0,0.0,0,0,-80.0,4.58,-18.7,Em retrocesso
2507200,Itatuba,PB,Nordeste,23.32,36.64,38.84,80.0,13.32,9.22,44.48,51.14,56.8,61.61,65.7,69.18,1,0,-10.82,7.23,9.22,No ritmo da meta
2931806,Tremedal,BA,Nordeste,49.49,42.86,59.42,80.0,-6.63,-3.77,39.66,36.93,34.62,32.65,30.98,29.55,0,0,-50.45,6.19,-3.77,Em retrocesso
2101806,Benedito Leite,MA,Nordeste,56.0,47.28,63.84,80.0,-8.72,-3.31,44.47,42.08,40.04,38.31,36.85,35.6,0,0,-44.4,5.45,-3.31,Em retrocesso
3304110,Porto Real,RJ,Sudeste,60.8,63.3,67.03,80.0,2.5,2.78,65.66,67.67,69.38,70.83,72.06,73.11,0,0,-6.89,2.78,2.78,No ritmo da meta
4209409,Laguna,SC,Sul,33.26,34.29,47.47,80.0,1.03,1.13,35.25,36.07,36.76,37.35,37.85,38.28,0,0,-41.72,7.62,1.13,Ritmo critico
1714203,Natividade,TO,Norte,28.21,43.89,43.26,80.0,15.68,11.94,54.04,62.67,70.0,76.23,81.53,86.03,1,1,6.03,6.02,11.94,No ritmo da meta
1505106,Óbidos,PA,Norte,48.83,53.98,58.97,80.0,5.15,3.79,57.2,59.94,62.27,64.25,65.93,67.36,0,0,-12.64,4.34,3.79,Ritmo insuficiente
